day,start_span,end_span,resolved_entity,lat,lng
1,870,877,Baghdad,33.339151273976576,44.41267314075318
2,139,145,Basreh,30.49366272677363,47.83190740735576
2,366,375,Gherrara,33.29530936631107,44.47171547512855
2,464,475,Diala River,33.2208,44.5064
2,494,503,Ctesiphon,33.08333,44.58333
2,539,544,Ledje,33.00864146661054,44.66212219817687
2,738,745,England,53.0,-1.0
2,889,899,Marseilles,43.296667,5.376389
2,1074,1082,Constantinople,41.01,28.960278
2,1302,1308,France,47.0,2.0
2,1423,1429,London,51.507222,-0.1275
2,1505,1515,Baghdadieh,32.96667,44.86667
2,1538,1545,Azizieh,32.90941,45.06359
2,1582,1588,Towil,32.772911617751646,45.19067744837847
3,99,105,Memlah,32.56906271386097,45.43929690592739
3,128,132,Coot,32.5128,45.81817
3,284,293,Aboo Dood,32.56098332471042,46.32156248912585
4,123,133,Ali Gherbi,32.46904339185854,46.7071608829297
4,251,256,Amara,31.83561,47.14483
4,437,448,Kalat Saleh,31.52802,47.29362
5,39,44,Paris,48.856667,2.352222
5,201,206,Azair,31.33183,47.41871
5,289,294,Gorna,31.015833,47.430556
5,2065,2072,Bushire,28.968889,50.836667
7,79,88,Ghumeyjeh Canal,,
7,292,299,Abdulla,31.489639932948165,47.40428838216971
7,303,306,Ali,,
8,250,261,Sheikh Saad,32.56248,46.26681
9,84,91,Sheresh,32.701902268927654,45.375139613954126
10,536,542,Hwedir,,
13,442,448,Europe,48.690959,9.14062
14,530,536,Vienna,48.208333,16.3725
15,329,337,Damascus,33.513056,36.291944
15,376,380,Rome,41.893056,12.482778
16,381,390,Rustumyeh,33.2763889,44.5177778
17,248,255,Bughela,32.55621,45.41293
19,494,503,Euphrates,39.7283,40.2569
19,600,606,Maghil,30.55676,47.78453
20,158,164,Bombay,19.075833,72.8775
20,413,418,Tello,31.616667,46.15
20,754,762,Kerbella,32.616667,44.033333
21,483,488,Jedda,21.4925,39.17757
22,466,471,Mehdi,32.59502102800566,45.56181863844594
24,125,139,Joorf el Batta,,
24,474,480,Aleppo,36.2,37.16
25,528,534,Mossul,36.24,43.130001
29,344,350,Novara,45.45,8.62
31,232,241,Umel Ajaj,32.55334226544733,45.621426955717226
32,291,302,Ali Sherghi,32.1175,46.73639
33,520,525,Sweib,,
34,1041,1050,Port Said,31.2625,32.306111
37,382,388,Brenij,32.88218785867342,45.036557814682254
37,395,403,Humenyeh,32.84383,45.07666
44,797,802,Swera,32.94689999926691,44.78816573238024
44,1106,1110,Suez,29.966667,32.533333
49,368,376,Shaebyeh,,
50,475,488,Abool Khassib,30.452222,47.985833
51,365,374,Haî River,32.425,45.85
51,581,584,Hai,32.174167,46.043333
52,265,270,Kweit,29.3797,47.9734
54,664,667,Hit,33.639469,42.838009
54,670,679,Saglawyeh,33.3963889,43.6833333
58,362,370,Kerradah,33.3,44.433333
60,213,232,Lohristan Mountains,33.4871,48.3538
62,1147,1153,Lebany,30.43245,48.12953
62,1226,1231,Katif,26.556,49.996
66,124,132,Hudeitha,34.139722,42.3725
67,968,973,Cairo,30.044444,31.235833
72,1308,1318,Manchester,53.466667,-2.233333
73,413,419,Raddat,32.86868107663686,45.02472819803822
73,1213,1221,Hamraya,32.59017,45.48319
76,588,594,Kteban,30.7086111,47.7541667
80,253,260,Babylon,32.5425,44.421111
80,265,271,Shetra,31.409722,46.171667
82,160,168,Gusseiba,33.15003989715311,44.575872814886026
82,1242,1247,Egypt,27.0,29.0
84,1040,1047,Germany,51.0,10.0
87,190,199,Mahomera,30.440833,48.184167
89,935,940,India,22,79
91,414,419,Ahwaz,31.318889,48.684167
91,422,430,Shushter,32.049722,48.848333
94,138,145,Deboony,32.69896,45.26533
96,474,480,Tigris,38.5032,39.5058
101,120,129,Aboo Hmar,32.55628,45.53174
101,284,295,Um El Boomy,32.56946424375573,45.73301353800619
102,139,151,Um El Aroog,32.639173163241836,46.155749878632236
102,271,280,Maghessil,32.49511,46.59372
102,520,531,Aboo Sedra,31.681837200263253,47.171272613192194
103,140,145,Elbow,31.405981974923375,47.4005064309264
108,424,428,Safi,,
113,510,516,Persia,32.0,53.0
113,975,981,Rmelat,32.91055873997196,44.94578967228708
113,1309,1315,Zeljeh,32.81839685034902,45.09420730648293
116,189,195,Nafikh,31.46444888038461,47.3836048795192
121,765,772,Lebanon,33.833333,35.766667
121,2019,2026,Beyrout,33.886944,35.513056
132,638,650,Philadelphia,39.952778,-75.163611
134,750,759,Um Sneyem,32.7167939,45.30664241
135,1548,1552,Deir,35.333333,40.15
140,1411,1418,Kurachi,24.86,67.01
141,1213,1220,Shedeif,32.74813600041267,45.23946938986793
145,214,221,Bahrein,26.0675,50.551111
150,53,65,Temrah,,
156,624,630,Howeza,31.461944,48.073889
156,665,672,Nasryeh,31.043889,46.2575
158,307,313,Hmeyan,31.245603044788254,47.44290608107718
158,599,612,Bunder Abbass,27.1793,56.2781
163,1640,1644,Lyon,45.758889,4.841389
163,1646,1651,Milan,45.466944,9.19
163,1653,1659,Venice,45.439722,12.331944
164,1141,1148,Palmyra,34.550381,38.269791
164,1203,1215,Alexandretta,36.587222,36.173333
171,805,815,Garmat Ali,30.586384346511775,47.75758248733548
176,220,226,Menary,,
176,385,391,Meshed,36.326389,59.543333
177,583,595,Aboo Ghureib,33.28849885,44.0593331
177,596,605,Felloojeh,33.35,43.783333
179,768,775,Moaddem,33.368417,44.362139
180,310,314,Urfa,37.158333,38.791667
180,316,325,Diarbekir,37.910833,40.236667
183,1831,1838,America,40.0,-100.0
185,1017,1024,Ispahan,32.644722,51.6675
185,1027,1034,Teheran,35.69439,51.42151
185,1561,1569,Shadeyeh,,
190,65,70,Shady,32.63085779,45.51337387
191,310,328,Zumbaranyeh Island,33.167887512224254,44.54157837333034
196,1025,1030,Turin,45.079167,7.676111
197,687,693,Karoon,30.4275,48.1653
205,131,140,Khemasseh,33.00184,44.65921
211,763,770,Gutnyeh,32.91211158090971,44.936385220760606
218,331,342,Dawar,33.00644,44.75664
219,388,394,Zurich,47.374444,8.541111
219,406,415,Innsbrück,47.268333,11.393333
221,855,862,Mendeli,33.733333,45.55
227,460,463,Fâo,29.98,48.47
228,528,534,Neshwa,30.821389,47.596389
230,78,85,Zachyeh,31.39896807273925,47.44318948158249
230,639,644,Mecca,21.4225,39.826111
233,794,809,Khalenberg Hill,48.2761,16.3333
237,498,505,Bucknal,,
238,311,319,Cheshnut,,
239,517,522,Thaji,32.9448,44.84629
241,622,634,Persian Gulf,26.0,52.0
241,1298,1303,Hedda,33.3714,7.9475
246,256,263,Rwebyeh,32.92556,44.77583
246,290,296,Bostan,33.11152695,44.6471302
247,1158,1165,Tripoli,32.8822,13.1891
247,1169,1176,Algeria,28,3
247,2579,2584,Yemen,15.348333,44.206389
250,176,184,Kadumain,33.383056,44.34
253,656,664,Seyafyeh,33.07269751163607,44.56754208805205
258,884,895,Canal Mejar,31.583333,47.166667
260,419,430,Han Seniyeh,,
260,996,1009,Place Bayazid,40.358889,45.126667
